# Columns: Station Code, latitude, longitude, regression dist (km), intensity, network code, Channel 1 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g), Channel 2 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g), Channel 3 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g)
CI.MNO,33.94738,-117.17278,662.44,1.0, CI, --.HNZ,0.0035,0.0015,0.0063,0.0023,0.0005, --.HNN,0.0034,0.0022,0.0053,0.006,0.001, --.HNE,0.0036,0.002,0.0048,0.0039,0.0024
CI.MOP,34.28096,-118.90469,533.67,1.0, CI, --.HHE,0.0075,0.005,0.007,0.0069,0.0031, --.HHN,0.006,0.0042,0.0065,0.0096,0.002, --.HHZ,0.0098,0.0047,0.0068,0.0086,0.0082
CI.MPI,34.81258,-119.1453,472.69,1.0, CI, --.HHE,0.0027,0.0017,0.0038,0.0023,0.0006, --.HHN,0.0065,0.0021,0.0037,0.004,0.0016, --.HHZ,0.0047,0.002,0.003,0.0055,0.002
CI.MPM,36.05799,-117.48901,491.15,1.0, CI, --.HHE,0.0044,0.0014,0.0021,0.004,0.0017, --.HHN,0.0035,0.0015,0.0023,0.0058,0.0017, --.HHZ,0.0036,0.0019,0.0027,0.0039,0.0011
CI.MPP,34.88848,-119.81362,432.12,1.0, CI, --.HHE,0.0316,0.0058,0.0097,0.0186,0.006, --.HHN,0.038,0.0071,0.0091,0.0257,0.0076, --.HHZ,0.0132,0.0031,0.005,0.0103,0.0034
CI.MUR,33.59999,-117.19543,689.82,1.0, CI, --.HHE,0.0012,0.0012,0.0038,0.0011,0.0005, --.HHN,0.0014,0.0011,0.0036,0.001,0.0004, --.HHZ,0.0013,0.0007,0.0017,0.001,0.0004
CI.MWC,34.22362,-118.05832,585.52,1.0, CI, --.HHE,0.0024,0.0012,0.0032,0.0024,0.001, --.HHN,0.0027,0.0013,0.0028,0.0033,0.0011, --.HHZ,0.0028,0.0012,0.0026,0.0033,0.0012
CI.NBS,34.78035,-116.55798,641.32,1.0, CI, --.HHE,0.0033,0.0013,0.0052,0.0041,0.0012, --.HHN,0.0024,0.0012,0.0028,0.0017,0.001, --.HHZ,0.0022,0.002,0.0072,0.0038,0.001
CI.NEN,34.77539,-118.50099,512.52,1.0, CI, --.HNZ,0.0096,0.0067,0.0101,0.0159,0.0035, --.HNN,0.0077,0.0041,0.0062,0.0159,0.0027, --.HNE,0.0059,0.0031,0.0057,0.0097,0.0017
CI.NJQ,34.53412,-120.17737,451.66,1.0, CI, --.HHE,0.0092,0.0072,0.0144,0.0143,0.0069, --.HHN,0.0108,0.0075,0.0159,0.0174,0.0041, --.HHZ,0.0089,0.0058,0.0159,0.0108,0.0073
CI.NOT,34.22869,-118.55829,556.78,1.0, CI, --.HNZ,0.0161,0.0123,0.0051,0.0084,0.0171, --.HNN,0.0115,0.0063,0.0065,0.0093,0.0096, --.HNE,0.009,0.0059,0.006,0.0092,0.0042
CI.OAT,34.34361,-118.61442,543.45,1.0, CI, --.HHE,0.0059,0.0027,0.005,0.0104,0.0027, --.HHN,0.0071,0.0024,0.005,0.0074,0.0036, --.HHZ,0.0115,0.004,0.0053,0.0092,0.0087
CI.OGC,33.78816,-117.844,635.57,1.0, CI, --.HNZ,0.0036,0.0083,0.0036,0.004,0.0021, --.HNN,0.0039,0.0027,0.0025,0.0036,0.002, --.HNE,0.0048,0.0024,0.0025,0.0038,0.0025
CI.OLI,33.94539,-117.92372,617.32,1.0, CI, --.HHE,0.0028,0.0013,0.0024,0.0031,0.0011, --.HHN,0.0036,0.0018,0.0039,0.003,0.0024, --.HHZ,0.0041,0.0017,0.0043,0.0034,0.003
CI.OSI,34.6145,-118.7235,513.46,1.0, CI, --.HHE,0.0052,0.0022,0.0024,0.0051,0.0013, --.HHN,0.0046,0.0016,0.0021,0.0059,0.002, --.HHZ,0.0061,0.0027,0.0044,0.0078,0.0017
CI.PASC,34.17141,-118.18523,582.67,1.0, CI, 00.HHE,0.0016,0.0006,0.0012,0.0014,0.0006, 00.HHN,0.0025,0.0012,0.0023,0.0025,0.0014, 00.HHZ,0.0025,0.0012,0.0021,0.0039,0.0014
CI.PDE,34.44199,-118.58215,536.53,1.0, CI, --.HHE,0.008,0.0037,0.0065,0.0061,0.0038, --.HHN,0.0083,0.0041,0.0082,0.0099,0.0038, --.HHZ,0.008,0.0048,0.003,0.0057,0.0049
CI.PDR,33.96273,-118.43702,587.25,1.0, CI, --.HHE,0.0068,0.0036,0.009,0.0037,0.0037, --.HHN,0.0083,0.0036,0.0058,0.0038,0.0038, --.HHZ,0.0055,0.0039,0.0069,0.0054,0.0025
CI.PDU,34.1207,-117.63808,619.36,1.0, CI, --.HHE,0.0028,0.0021,0.0044,0.0053,0.0017, --.HHN,0.0034,0.0018,0.0029,0.0057,0.0015, --.HHZ,0.0041,0.0031,0.006,0.0126,0.0016
CI.PER,33.86164,-117.20529,667.43,1.0, CI, --.HHE,0.0017,0.0007,0.0011,0.0009,0.0008, --.HHN,0.0015,0.0009,0.0011,0.0012,0.001, --.HHZ,0.0014,0.0007,0.0012,0.0013,0.0009
CI.PLS,33.7953,-117.60906,648.58,1.0, CI, --.HHE,0.0016,0.0013,0.0025,0.0018,0.0011, --.HHN,0.0026,0.0016,0.003,0.0034,0.0008, --.HHZ,0.0017,0.0009,0.0017,0.0021,0.0007
CI.PMD,33.64785,-116.37769,737.42,1.0, CI, --.HHE,0.0013,0.0006,0.001,0.0013,0.0009, --.HHN,0.0011,0.0004,0.0007,0.0008,0.0006, --.HHZ,0.0014,0.0004,0.0009,0.0011,0.0006
CI.POB2,33.68708,-116.92382,699.29,1.0, CI, --.HHE,0.0012,0.0009,0.0024,0.0015,0.0009, --.HHN,0.0018,0.0014,0.0044,0.0021,0.0012, --.HHZ,0.0013,0.0008,0.0025,0.0016,0.0009
CI.PSD,33.82393,-116.55026,712.3,1.0, CI, --.HHE,0.0018,0.0011,0.0017,0.0016,0.0012, --.HHN,0.0009,0.0009,0.0013,0.0015,0.0005, --.HHZ,0.0012,0.0012,0.0018,0.0025,0.0006
CI.PSR,34.09181,-117.80709,611.6,1.0, CI, --.HHE,0.0029,0.0014,0.0027,0.0033,0.0015, --.HHN,0.003,0.0013,0.0019,0.0043,0.0017, --.HHZ,0.0036,0.0018,0.0034,0.0047,0.0016
CI.PTD,34.00443,-118.80686,564.23,1.0, CI, --.HNZ,0.0039,0.0017,0.0059,0.0037,0.0017, --.HNN,0.006,0.0023,0.0037,0.0055,0.0019, --.HNE,0.0037,0.0026,0.0047,0.007,0.0008
CI.PUT,34.69115,-117.96919,552.13,1.0, CI, --.HNZ,0.0089,0.0087,0.0135,0.0052,0.0017, --.HNN,0.0077,0.0067,0.0064,0.0053,0.0014, --.HNE,0.0071,0.0098,0.0038,0.0067,0.0025
CI.Q0000,34.18791,-118.11517,585.28,1.0, CI, 01.HNN,0.0039,0.004,0.0071,0.0076,0.0016, 01.HNE,0.0056,0.0044,0.0067,0.0066,0.0024, 01.HNZ,0.0041,0.0049,0.0067,0.0083,0.0015
CI.Q0003,34.21587,-118.82857,543.58,1.0, CI, 01.HNN,0.0055,0.0045,0.0038,0.0067,0.0026, 01.HNE,0.0038,0.004,0.0047,0.0035,0.0016, 01.HNZ,0.0052,0.0043,0.0044,0.004,0.0037
CI.Q0011,33.84025,-118.01537,621.3,1.0, CI, 01.HNN,0.0034,0.004,0.0023,0.002,0.0015, 01.HNE,0.004,0.0034,0.0035,0.0036,0.0024, 01.HNZ,0.0026,0.0046,0.0034,0.0019,0.0014
CI.Q0014,34.27704,-118.39679,561.43,1.0, CI, 01.HNN,0.0047,0.0074,0.0069,0.0056,0.0026, 01.HNE,0.0095,0.0075,0.0073,0.0076,0.0072, 01.HNZ,0.007,0.017,0.0056,0.0062,0.005
CI.Q0015,34.37468,-118.54883,544.33,1.0, CI, 01.HNN,0.0098,0.0053,0.0052,0.0105,0.0084, 01.HNE,0.0073,0.0047,0.0051,0.0085,0.0044, 01.HNZ,0.0068,0.0046,0.0044,0.0074,0.0047
CI.Q0023,33.95483,-117.57606,637,1.0, CI, 01.HNN,0.0024,0.0033,0.0033,0.0042,0.0013, 01.HNE,0.0031,0.0035,0.0034,0.0029,0.001, 01.HNZ,0.0029,0.0055,0.0042,0.0034,0.0015
CI.Q0024,34.76766,-118.73668,499.38,1.0, CI, 01.HNN,0.0054,0.0066,0.0083,0.0061,0.0014, 01.HNE,0.0046,0.0069,0.0061,0.0063,0.0015, 01.HNZ,0.0031,0.0071,0.0057,0.0068,0.0014
CI.Q0030,33.97979,-117.75391,624.27,1.0, CI, 01.HNN,0.0048,0.0042,0.0047,0.0072,0.0015, 01.HNE,0.004,0.0035,0.0039,0.0055,0.0017, 01.HNZ,0.0035,0.0042,0.0047,0.0054,0.0011
CI.Q0035,34.46575,-118.20404,556.32,1.0, CI, 01.HNN,0.0046,0.0082,0.0075,0.0021,0.0015, 01.HNE,0.0032,0.0068,0.0063,0.003,0.0027, 01.HNZ,0.0042,0.0071,0.0035,0.0028,0.002
CI.Q0042,33.92596,-117.65823,634.52,1.0, CI, 01.HNN,0.0032,0.0036,0.0042,0.0056,0.0016, 01.HNE,0.0032,0.0034,0.0034,0.0038,0.0018, 01.HNZ,0.0037,0.0042,0.0029,0.0045,0.0017
CI.Q0050,34.19142,-118.95853,539.21,1.0, CI, 01.HNN,0.0043,0.0082,0.007,0.0031,0.0013, 01.HNE,0.0044,0.0056,0.0045,0.0034,0.0025, 01.HNZ,0.0056,0.0135,0.0068,0.0053,0.0029
CI.Q0065,35.1419,-118.48478,483.43,1.0, CI, 01.HNN,0.0051,0.0054,0.0108,0.0057,0.0022, 01.HNE,0.0043,0.0056,0.0108,0.0112,0.0017, 01.HNZ,0.0045,0.0058,0.0163,0.0069,0.0015
CI.Q0067,33.9475,-117.99124,613.26,1.0, CI, 01.HNN,0.0048,0.0034,0.0036,0.004,0.003, 01.HNE,0.0039,0.0035,0.0029,0.0048,0.0016, 01.HNZ,0.0055,0.0036,0.0036,0.0053,0.0031
CI.Q0068,35.11167,-117.97665,518.83,1.0, CI, 01.HNN,0.0057,0.0059,0.0059,0.0076,0.0024, 01.HNE,0.0059,0.0055,0.0065,0.0116,0.0036, 01.HNZ,0.0065,0.0099,0.0106,0.0076,0.0032
CI.Q0072,35.60962,-117.66672,505.25,1.0, CI, 01.HNN,0.0057,0.0094,0.0066,0.0099,0.0023, 01.HNE,0.0053,0.01,0.0072,0.008,0.0016, 01.HNZ,0.0041,0.0334,0.0057,0.0048,0.0011
CI.Q0073,34.08356,-118.65087,564.95,1.0, CI, 01.HNN,0.0034,0.004,0.0059,0.0035,0.0016, 01.HNE,0.004,0.0034,0.0052,0.0034,0.0013, 01.HNZ,0.0044,0.0036,0.0029,0.0044,0.0029
CI.Q0074,33.88642,-118.3732,597.57,1.0, CI, 01.HNN,0.0049,0.0042,0.0038,0.0039,0.0018, 01.HNE,0.006,0.004,0.0033,0.0037,0.0027, 01.HNZ,0.004,0.0044,0.0039,0.0038,0.0027
CI.Q0077,34.23119,-119.02989,531.94,1.0, CI, 01.HNN,0.0079,0.0052,0.0065,0.007,0.0031, 01.HNE,0.0079,0.0051,0.0061,0.0086,0.0039, 01.HNZ,0.0046,0.0062,0.005,0.0039,0.002
CI.RAG,34.68289,-116.15139,677.4,1.0, CI, --.HHE,0.0018,0.0008,0.0025,0.0018,0.0009, --.HHN,0.0016,0.0007,0.002,0.0016,0.001, --.HHZ,0.002,0.0012,0.0037,0.0017,0.001
CI.RCT,36.30523,-119.24384,345.37,1.0, CI, --.HNZ,0.0218,0.0505,0.0207,0.0329,0.0053, --.HNN,0.0435,0.0255,0.0485,0.0606,0.0241, --.HNE,0.0369,0.0284,0.0332,0.0881,0.0148
CI.RPV,33.74346,-118.40412,608.96,1.0, CI, --.HHE,0.0027,0.0012,0.0019,0.0026,0.0014, --.HHN,0.0033,0.001,0.0017,0.0044,0.002, --.HHZ,0.0031,0.0012,0.0014,0.0036,0.0024
CI.RRX,34.87533,-116.99684,603.44,1.0, CI, --.HHE,0.0078,0.0033,0.0045,0.0084,0.0027, --.HHN,0.005,0.0022,0.0036,0.0073,0.0021, --.HHZ,0.0044,0.0032,0.0079,0.007,0.001
CI.RVR,33.99351,-117.37545,646.03,1.0, CI, --.HHE,0.0081,0.0014,0.0012,0.0029,0.003, --.HHN,0.0087,0.0013,0.0017,0.0017,0.0014, --.HHZ,0.0056,0.0009,0.0013,0.0021,0.0009
CI.SAN,33.70432,-117.88578,640.57,1.0, CI, --.HNZ,0.0031,0.0031,0.0019,0.0042,0.0011, --.HNN,0.0054,0.0027,0.0049,0.008,0.0029, --.HNE,0.0035,0.002,0.0029,0.0034,0.0013
CI.SBB2,34.68844,-117.82424,561.57,1.0, CI, --.HHE,0.0017,0.0009,0.0023,0.0016,0.0006, --.HHN,0.0022,0.0009,0.0021,0.0016,0.0007, --.HHZ,0.0023,0.0011,0.0031,0.0025,0.0006
CI.SBC,34.44076,-119.71492,479.84,1.0, CI, --.HHE,0.0087,0.0038,0.0056,0.009,0.0036, --.HHN,0.0108,0.005,0.0082,0.0097,0.0061, --.HHZ,0.0064,0.0031,0.0045,0.0101,0.0047
CI.SBI,33.48046,-119.02986,603.65,1.0, CI, --.HHE,0.002,0.0015,0.0008,0.0013,0.0006, --.HHN,0.0023,0.0014,0.001,0.0012,0.0011, --.HHZ,0.003,0.0015,0.0015,0.0029,0.0025
CI.SCI2,32.9799,-118.54697,674,1.0, CI, --.HHE,0.0019,0.0016,0.0019,0.0017,0.0007, --.HHN,0.002,0.0015,0.0028,0.0014,0.0006, --.HHZ,0.0015,0.0034,0.0019,0.0009,0.0008
CI.SCZ2,33.99543,-119.6351,527.09,1.0, CI, --.HHE,0.0057,0.0051,0.0096,0.011,0.0014, --.HHN,0.0063,0.005,0.0134,0.0089,0.0032, --.HHZ,0.0042,0.003,0.006,0.004,0.0015
CI.SDD,33.55259,-117.66171,666.58,1.0, CI, --.HHE,0.0031,0.0013,0.0016,0.0039,0.0018, --.HHN,0.0032,0.002,0.002,0.0053,0.0013, --.HHZ,0.0032,0.0016,0.002,0.0043,0.0009
CI.SES,34.43692,-119.1375,507.4,1.0, CI, --.HHE,0.006,0.0026,0.0042,0.0057,0.0031, --.HHN,0.0033,0.0021,0.0029,0.0038,0.0016, --.HHZ,0.0033,0.0023,0.0029,0.0039,0.0017
CI.SHO,35.8996,-116.27515,595.45,1.0, CI, --.HHE,0.0047,0.0026,0.0032,0.0069,0.0011, --.HHN,0.0041,0.003,0.0037,0.0064,0.0012, --.HHZ,0.0027,0.0024,0.0025,0.0043,0.0012
CI.SHU,34.64279,-118.16454,543.92,1.0, CI, --.HNZ,0.0086,0.0036,0.0061,0.0049,0.0009, --.HNN,0.0087,0.0033,0.0064,0.0101,0.001, --.HNE,0.0062,0.0027,0.0054,0.0065,0.0017
CI.SLA,35.89095,-117.28332,516.61,1.0, CI, --.HHE,0.0069,0.0054,0.0059,0.0087,0.0021, --.HHN,0.0048,0.0044,0.0058,0.0058,0.0014, --.HHZ,0.0036,0.0031,0.0043,0.0059,0.0016
CI.SMF2,34.02199,-118.44629,581.4,1.0, CI, --.HHE,0.0061,0.0024,0.0035,0.0038,0.0029, --.HHN,0.0113,0.0029,0.004,0.0051,0.0132, --.HHZ,0.01,0.0025,0.0053,0.0058,0.0081
CI.SMI,34.03818,-120.35132,496.47,1.0, CI, --.HHE,0.0047,0.0012,0.0028,0.0022,0.0018, --.HHN,0.0035,0.0014,0.0038,0.0018,0.001, --.HHZ,0.0041,0.0009,0.0022,0.0018,0.0011
CI.SMM,35.3142,-119.99581,383.12,1.0, CI, --.HHE,0.0201,0.0121,0.0143,0.0369,0.005, --.HHN,0.0137,0.0106,0.0142,0.0425,0.0057, --.HHZ,0.0098,0.0052,0.0071,0.0142,0.0052
CI.SMR,35.37699,-120.61247,350.11,1.0, CI, --.HHE,0.0596,0.0085,0.011,0.0258,0.013, --.HHN,0.0487,0.0072,0.0106,0.0245,0.0085, --.HHZ,0.0222,0.0061,0.0084,0.0147,0.0123
CI.SMV,34.27091,-118.74407,542.99,1.0, CI, --.HNZ,0.0095,0.0074,0.0035,0.0064,0.0064, --.HNN,0.011,0.005,0.0041,0.0123,0.0087, --.HNE,0.0065,0.0047,0.004,0.0105,0.0047
CI.SNCC,33.24787,-119.52437,606.55,1.0, CI, --.HHE,0.0027,0.0011,0.0016,0.0019,0.0006, --.HHN,0.0032,0.001,0.0014,0.0024,0.0011, --.HHZ,0.0033,0.0007,0.0015,0.0015,0.0012
CI.SNO,34.03515,-116.80778,678.9,1.0, CI, --.HHE,0.0031,0.0019,0.0025,0.0054,0.0014, --.HHN,0.0033,0.0018,0.004,0.0045,0.0012, --.HHZ,0.0023,0.0015,0.0029,0.0046,0.0012
CI.SPF,34.05933,-118.64614,567.41,1.0, CI, --.HHE,0.004,0.0014,0.0022,0.0034,0.0024, --.HHN,0.0046,0.0016,0.0024,0.0025,0.002, --.HHZ,0.0031,0.0013,0.0024,0.0034,0.0031
CI.SPG2,36.20057,-118.76624,386.44,1.0, CI, --.HHE,0.0082,0.0045,0.0109,0.0135,0.0027, --.HHN,0.0138,0.008,0.0096,0.0113,0.0025, --.HHZ,0.0082,0.0045,0.0122,0.0085,0.0028
CI.SRN,33.82854,-117.78938,635.2,1.0, CI, --.HHE,0.0024,0.0017,0.0021,0.0025,0.001, --.HHN,0.003,0.0017,0.0021,0.0029,0.001, --.HHZ,0.0022,0.0018,0.0014,0.0036,0.0011
CI.STC,34.30302,-119.18676,517.47,1.0, CI, --.HHE,0.0051,0.0036,0.008,0.0068,0.0016, --.HHN,0.0073,0.0038,0.0064,0.0055,0.0045, --.HHZ,0.0094,0.0049,0.0085,0.0109,0.0052
CI.STG,33.664,-117.76856,650.74,1.0, CI, --.HHE,0.0028,0.0013,0.0016,0.0029,0.0021, --.HHN,0.0022,0.0014,0.0019,0.0028,0.0014, --.HHZ,0.0025,0.0011,0.0015,0.0022,0.0016
CI.STS,33.79033,-118.19878,615.63,1.0, CI, --.HHE,0.0046,0.0038,0.0036,0.0046,0.0024, --.HHN,0.0055,0.004,0.0049,0.0076,0.0017, --.HHZ,0.0035,0.0183,0.0036,0.0041,0.0018
CI.SVD,34.10647,-117.09822,654.4,1.0, CI, --.HHE,0.0016,0.0012,0.0045,0.0018,0.001, --.HHN,0.0021,0.0013,0.0045,0.0019,0.0014, --.HHZ,0.0019,0.0012,0.0029,0.0026,0.0011
CI.SYP,34.52775,-119.97834,460.15,1.0, CI, --.HHE,0.0114,0.0104,0.0196,0.0108,0.0069, --.HHN,0.0102,0.006,0.0125,0.0247,0.0076, --.HHZ,0.0061,0.0032,0.0083,0.0059,0.0041
CI.TA2,34.38203,-117.67822,595.4,1.0, CI, --.HHE,0.0036,0.0029,0.0074,0.0064,0.0018, --.HHN,0.005,0.003,0.0082,0.0049,0.0029, --.HHZ,0.0025,0.0027,0.0046,0.0051,0.0014
CI.TEH,35.2913,-118.42079,475.79,1.0, CI, --.HHE,0.004,0.0022,0.0055,0.0045,0.002, --.HHN,0.0045,0.0022,0.0044,0.0044,0.0018, --.HHZ,0.0049,0.0033,0.0087,0.0058,0.002
CI.TFT,35.14592,-119.41946,428.06,1.0, CI, --.HHE,0.0076,0.0064,0.0091,0.0139,0.0025, --.HHN,0.0123,0.0063,0.0111,0.0152,0.0018, --.HHZ,0.0119,0.0077,0.0103,0.013,0.0085
CI.THC,34.90853,-118.66443,491.58,1.0, CI, --.HNZ,0.0029,0.0013,0.0027,0.003,0.0014, --.HNN,0.0033,0.0018,0.0047,0.0042,0.0008, --.HNE,0.0045,0.0015,0.005,0.0039,0.001
CI.TIN,37.05422,-118.23009,382.9,1.0, CI, --.HHE,0.0583,0.0265,0.0404,0.0806,0.0191, --.HHN,0.0666,0.0337,0.0429,0.098,0.0215, --.HHZ,0.0541,0.0231,0.0403,0.0528,0.0147
CI.TJR,35.02722,-118.74373,476.88,1.0, CI, --.HNZ,0.0041,0.0022,0.0065,0.0034,0.0012, --.HNN,0.0044,0.0029,0.0075,0.0086,0.0019, --.HNE,0.0057,0.0029,0.0075,0.0102,0.002
CI.TPO,34.87883,-118.22864,520.68,1.0, CI, --.HHE,0.0063,0.0029,0.0043,0.0057,0.0032, --.HHN,0.0065,0.0024,0.0044,0.0069,0.0028, --.HHZ,0.0082,0.0034,0.0052,0.0074,0.0045
CI.TUQ,35.43584,-115.92389,648.17,1.0, CI, --.HHE,0.0035,0.0013,0.0015,0.0044,0.002, --.HHN,0.0018,0.0009,0.0011,0.0033,0.0008, --.HHZ,0.0021,0.0008,0.0015,0.0021,0.0011
CI.USB,34.413,-119.8427,477.12,1.0, CI, 00.HNE,0.0092,0.0128,0.0062,0.0081,0.0059, 00.HNN,0.0112,0.0129,0.0058,0.0115,0.0095, 00.HNZ,0.0102,0.0133,0.0051,0.0153,0.0028
CI.USC,34.01919,-118.28631,590.38,1.0, CI, --.HHE,0.0046,0.0063,0.0033,0.0042,0.0027, --.HHN,0.0049,0.0046,0.0026,0.0031,0.0042, --.HHZ,0.0065,0.0101,0.0046,0.0041,0.005
CI.VES,35.84089,-119.08469,390.14,1.0, CI, --.HHE,0.0136,0.0089,0.0154,0.0167,0.0044, --.HHN,0.0145,0.0115,0.0213,0.01,0.0109, --.HHZ,0.0129,0.0072,0.0183,0.0145,0.0062
CI.VLY,33.73615,-117.15806,680.71,1.0, CI, --.HNZ,0.0046,0.0015,0.0022,0.0021,0.0006, --.HNN,0.0026,0.0016,0.0022,0.0041,0.0009, --.HNE,0.0028,0.0017,0.0032,0.0038,0.0008
CI.VOG,36.32098,-119.38226,334.65,1.0, CI, --.HHE,0.043,0.0194,0.0379,0.0596,0.0109, --.HHN,0.044,0.0248,0.0466,0.0521,0.018, --.HHZ,0.0233,0.0138,0.0296,0.0256,0.0108
CI.VTV,34.56065,-117.3296,603.82,1.0, CI, --.HHE,0.0027,0.0038,0.015,0.002,0.0012, --.HHN,0.0026,0.0036,0.011,0.0032,0.0011, --.HHZ,0.0025,0.0057,0.012,0.0026,0.001
CI.WAS2,35.7377,-118.55743,433.21,1.0, CI, --.HHE,0.005,0.0028,0.0075,0.0082,0.002, --.HHN,0.0048,0.0026,0.0085,0.0061,0.0019, --.HHZ,0.0048,0.0027,0.0058,0.0076,0.0022
CI.WBS,35.53664,-118.14035,476.46,1.0, CI, --.HHE,0.0067,0.006,0.0154,0.0071,0.0038, --.HHN,0.0066,0.0061,0.0115,0.0092,0.0024, --.HHZ,0.0057,0.0039,0.0089,0.0107,0.0037
CI.WGR,34.51085,-119.27407,493.7,1.0, CI, --.HHE,0.0029,0.0011,0.0021,0.0022,0.001, --.HHN,0.0056,0.002,0.0027,0.004,0.002, --.HHZ,0.0046,0.0017,0.0029,0.0052,0.0023
CI.WHF,35.69513,-118.35183,450.48,1.0, CI, --.HHE,0.0078,0.0058,0.0139,0.007,0.0026, --.HHN,0.0065,0.0059,0.0227,0.0053,0.002, --.HHZ,0.0048,0.0031,0.0066,0.006,0.0019
CI.WLH2,36.15207,-118.31319,422.84,1.0, CI, --.HHE,0.0162,0.0064,0.015,0.0142,0.0037, --.HHN,0.0113,0.0053,0.0096,0.0075,0.0032, --.HHZ,0.0111,0.0044,0.0082,0.0104,0.0042
CI.WLT,34.00948,-117.95077,610.21,1.0, CI, --.HHE,0.0079,0.0035,0.0059,0.0093,0.0016, --.HHN,0.0066,0.0033,0.0054,0.0098,0.0033, --.HHZ,0.0061,0.0031,0.0041,0.0094,0.0017
CI.WNS,34.115,-118.38,576.69,1.0, CI, 00.HNE,0.0041,0.0033,0.0012,0.0011,0.0018, 00.HNN,0.0025,0.0033,0.0009,0.001,0.002, 00.HNZ,0.0034,0.0029,0.0013,0.0019,0.0022
CI.WTT2,33.94867,-118.25539,598.36,1.0, CI, --.HHE,0.003,0.0024,0.003,0.003,0.0013, --.HHN,0.0069,0.003,0.0042,0.005,0.0033, --.HHZ,0.0052,0.0048,0.0028,0.0036,0.0028
CI.WWC,33.94068,-116.40876,712.67,1.0, CI, --.HHE,0.0017,0.0008,0.0031,0.0022,0.0005, --.HHN,0.0013,0.0008,0.002,0.0015,0.0007, --.HHZ,0.0017,0.0007,0.0016,0.0026,0.0005
NC.BJOB,36.61087,-121.31467,199.28,1.0, NC, --.HNZ,0.0477,0.02,0.0463,0.0407,0.0143, --.HNN,0.095,0.0433,0.0896,0.0599,0.0175, --.HNE,0.1001,0.0445,0.1005,0.0353,0.0268
NC.G007,39.02153,-123.68085,141.44,1.0, NC, 01.HNN,0.3053,0.0898,0.1389,0.1556,0.1935, 01.HNE,0.2653,0.0837,0.1528,0.1346,0.0716, 01.HNZ,0.3216,0.0633,0.0727,0.1243,0.173
NC.K001,41.80709,-124.17525,418.99,1.0, NC, 01.HNN,0.0045,0.004,0.0048,0.006,0.0017, 01.HNE,0.0044,0.0043,0.005,0.0066,0.0027, 01.HNZ,0.0051,0.0041,0.0046,0.0046,0.0022
NC.K002,41.36341,-124.01931,368.54,1.0, NC, 01.HNN,0.0096,0.005,0.0072,0.009,0.0068, 01.HNE,0.0068,0.0053,0.0044,0.0063,0.0048, 01.HNZ,0.0098,0.0183,0.0057,0.0108,0.0056
NC.K003,40.93564,-124.0997,328.68,1.0, NC, 01.HNN,0.0118,0.0099,0.0068,0.0131,0.0077, 01.HNE,0.0108,0.0085,0.0082,0.026,0.0049, 01.HNZ,0.0118,0.0182,0.0062,0.013,0.0081
NC.KBO,42.21236,-124.22598,462.36,1.0, NC, --.HHE,0.0779,0.0099,0.0097,0.0127,0.0201, --.HHN,0.056,0.0088,0.0085,0.0146,0.0148, --.HHZ,0.0164,0.0045,0.0038,0.007,0.0074
NC.KCPB,39.68631,-123.58242,187.28,1.0, NC, --.HNZ,0.2479,0.0373,0.04,0.0693,0.1082, --.HNN,0.375,0.0692,0.0739,0.117,0.2472, --.HNE,0.4795,0.0754,0.0867,0.1354,0.1923
NC.KCT,40.47557,-124.33749,296.06,1.0, NC, --.HNZ,0.1529,0.0351,0.036,0.04,0.1344, --.HNN,0.1232,0.0352,0.0375,0.0709,0.1073, --.HNE,0.1993,0.0423,0.0443,0.0669,0.1375
NC.KEB,42.87221,-124.33425,534.3,1.0, NC, --.HHE,0.056,0.0086,0.0084,0.0151,0.0234, --.HHN,0.0337,0.0081,0.0082,0.0112,0.0155, --.HHZ,0.0197,0.0052,0.0052,0.0072,0.0117
NC.KHMB,40.87475,-123.73259,309.15,1.0, NC, --.HNZ,0.075,0.0138,0.0138,0.0227,0.0605, --.HNN,0.1378,0.0242,0.0244,0.0335,0.0513, --.HNE,0.1371,0.0237,0.0243,0.034,0.0424
NC.KMPB,40.41719,-124.12076,280.17,1.0, NC, --.HNZ,0.0739,0.0154,0.0158,0.021,0.0348, --.HNN,0.1121,0.026,0.026,0.0551,0.0639, --.HNE,0.2024,0.0276,0.0274,0.0504,0.0531
NC.KMR,40.20217,-123.70863,241.35,1.0, NC, --.HNZ,0.2578,0.0502,0.0506,0.0634,0.1234, --.HNN,0.2847,0.0483,0.0497,0.1083,0.1232, --.HNE,0.3933,0.0572,0.0587,0.1015,0.167
NC.KRMB,41.52296,-123.90797,381.39,1.0, NC, --.HHE,0.0728,0.0121,0.0121,0.0173,0.0192, --.HHN,0.0599,0.0087,0.0089,0.0122,0.0178, --.HHZ,0.0695,0.0099,0.01,0.0133,0.0259
