name,lat2,lon3,population,mmi,iscapital
Linden,38.02131,-121.08383,1784,2.76,0
Dogtown,38.21381,-121.08855,2506,2.73,0
Folsom,38.67796,-121.17606,72203,2.68,0
Sheridan,38.97962,-121.37551,1238,2.66,0
Lincoln,38.89156,-121.29301,42819,2.65,0
Ripon,37.7416,-121.12438,14297,2.65,0
Wheatland,39.00989,-121.42301,3456,2.6,0
Salida,37.70576,-121.08494,13722,2.57,0
Boonville,39.00907,-123.36612,1035,2.51,0
Rancho Murieta,38.50185,-121.09467,5488,2.5,0
Rocklin,38.79073,-121.23578,56974,2.45,0
Granite Bay,38.76323,-121.16384,20402,2.38,0
Loomis,38.82129,-121.193,6430,2.34,0
Patterson,37.4716,-121.12966,20413,2.34,0
El Dorado Hills,38.68574,-121.08217,42108,2.33,0
Newcastle,38.87407,-121.13328,1224,2.24,0
Auburn,38.89657,-121.07689,13330,2.16,0
North Auburn,38.93129,-121.08189,13022,2.13,0
Sea Ranch,38.71519,-123.45445,1305,2.04,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
